T,msquared,err
1.5,0.9737658691406251,0.0013046337844745289
1.6666666666666667,0.9491119384765625,0.0020338865994547935
1.8333333333333333,0.9082948811848958,0.0030152276556946506
2.0,0.8263362630208333,0.007051972343677209
2.1666666666666665,0.7346270751953126,0.02255907238765981
2.333333333333333,0.5442779541015624,0.0372165557353631
2.5,0.4449589029947917,0.034058756574958035
2.6666666666666665,0.3295371500651042,0.03002263663100817
2.833333333333333,0.22713195800781252,0.024598529241479664
3.0,0.1672674560546875,0.021519347948748293
