T,msquared,err
1.5,0.9730388762553531,0.0003352874968661363
1.6666666666666667,0.9483760207891466,0.0005189280467911481
1.8333333333333333,0.9048019127051035,0.0008582902107988358
2.0,0.8330928532282511,0.0013886358590336344
2.1666666666666665,0.6792856748898825,0.0033481786555311934
2.333333333333333,0.2603955682118734,0.016457702035824813
2.5,0.054824425379435215,0.012286665023729474
2.6666666666666665,0.02757497727870941,0.008739373354593087
2.833333333333333,0.015223842660586037,0.006488864859114674
3.0,0.010979464848836263,0.005514402007198767
