T,msquared,err
1.5,0.9735887845357258,0.0006513344329221552
1.6666666666666667,0.9482064565022785,0.0010412392624419553
1.8333333333333333,0.9068432553609214,0.0016135732997794503
2.0,0.8285402170817058,0.003246501982698706
2.1666666666666665,0.7067104339599608,0.005294989023592487
2.333333333333333,0.44654819488525394,0.022277915251799393
2.5,0.20382891972859704,0.023587898689105925
2.6666666666666665,0.10491543451944985,0.016944348175360013
2.833333333333333,0.06688892364501953,0.01358039127232363
3.0,0.048898798624674486,0.01163843769919517
