T,x,m,msquared,err
2.019185314213022,-5.0,0.9044845833333334,0.8207226229166666,0.002699267074520892
2.0747408697685774,-3.888888888888893,0.8827720833333335,0.7824730395833334,0.002970999473049916
2.130296425324133,-2.777777777777777,0.8477754166666667,0.7260720395833334,0.0045118749070941966
2.1858519808796886,-1.6666666666666696,0.8122849999999999,0.6741271875,0.006298279735894507
2.2414075364352444,-0.5555555555555536,0.7341979166666667,0.5736366104166667,0.00978862893624558
2.2969630919907997,0.5555555555555536,0.5443733333333333,0.4581564125,0.021171642983856688
2.3525186475463555,1.6666666666666696,0.16938333333333333,0.36875911250000004,0.030692307268336574
2.408074203101911,2.777777777777777,0.21792374999999997,0.2667860770833333,0.024646830426109188
2.4636297586574667,3.888888888888893,0.02055083333333333,0.17313352916666666,0.021872913745610453
2.519185314213022,5.0,0.039541666666666656,0.13084373750000003,0.018923976356879656
